iot_zone,simulation_zone
office013;zone001
office011;zone002
office012;zone002
;zone003
office014;zone004
office015;zone004
office016;zone004
office017;zone004
office020;zone005
office114;zone101
office113;zone102
office127;zone102
;zone103
office109;zone104
office123;zone105
office124;zone105
office102;zone106
office103;zone106
office110;zone107
office111;zone107
office112;zone108
office101;zone109
office104;zone010
office105;zone010
office106;zone010
office107;zone010
office108;zone010
office120;zone111
office121;zone111
office122;zone111
office115;zone012
office116;zone012
office117;zone012
office118;zone012
office119;zone012
;zone113
;zone114
office001;
office125;
office126;
